ga:visitors
ga:newVisits
ga:percentNewVisits
ga:visits
ga:bounces
ga:entranceBounceRate
ga:visitBounceRate
ga:timeOnSite
ga:avgTimeOnSite
ga:organicSearches
ga:impressions
ga:adClicks
ga:adCost
ga:CPM
ga:CPC
ga:CTR
ga:costPerTransaction
ga:costPerGoalConversion
ga:costPerConversion
ga:RPC
ga:ROI
ga:margin
ga:goal1Starts
ga:goal2Starts
ga:goal3Starts
ga:goal4Starts
ga:goal5Starts
ga:goal6Starts
ga:goal7Starts
ga:goal8Starts
ga:goal9Starts
ga:goal10Starts
ga:goal11Starts
ga:goal12Starts
ga:goal13Starts
ga:goal14Starts
ga:goal15Starts
ga:goal16Starts
ga:goal17Starts
ga:goal18Starts
ga:goal19Starts
ga:goal20Starts
ga:goalStartsAll
ga:goal1Completions
ga:goal2Completions
ga:goal3Completions
ga:goal4Completions
ga:goal5Completions
ga:goal6Completions
ga:goal7Completions
ga:goal8Completions
ga:goal9Completions
ga:goal10Completions
ga:goal11Completions
ga:goal12Completions
ga:goal13Completions
ga:goal14Completions
ga:goal15Completions
ga:goal16Completions
ga:goal17Completions
ga:goal18Completions
ga:goal19Completions
ga:goal20Completions
ga:goalCompletionsAll
ga:goal1Value
ga:goal2Value
ga:goal3Value
ga:goal4Value
ga:goal5Value
ga:goal6Value
ga:goal7Value
ga:goal8Value
ga:goal9Value
ga:goal10Value
ga:goal11Value
ga:goal12Value
ga:goal13Value
ga:goal14Value
ga:goal15Value
ga:goal16Value
ga:goal17Value
ga:goal18Value
ga:goal19Value
ga:goal20Value
ga:goalValueAll
ga:goalValuePerVisit
ga:goal1ConversionRate
ga:goal2ConversionRate
ga:goal3ConversionRate
ga:goal4ConversionRate
ga:goal5ConversionRate
ga:goal6ConversionRate
ga:goal7ConversionRate
ga:goal8ConversionRate
ga:goal9ConversionRate
ga:goal10ConversionRate
ga:goal11ConversionRate
ga:goal12ConversionRate
ga:goal13ConversionRate
ga:goal14ConversionRate
ga:goal15ConversionRate
ga:goal16ConversionRate
ga:goal17ConversionRate
ga:goal18ConversionRate
ga:goal19ConversionRate
ga:goal20ConversionRate
ga:goalConversionRateAll
ga:goal1Abandons
ga:goal2Abandons
ga:goal3Abandons
ga:goal4Abandons
ga:goal5Abandons
ga:goal6Abandons
ga:goal7Abandons
ga:goal8Abandons
ga:goal9Abandons
ga:goal10Abandons
ga:goal11Abandons
ga:goal12Abandons
ga:goal13Abandons
ga:goal14Abandons
ga:goal15Abandons
ga:goal16Abandons
ga:goal17Abandons
ga:goal18Abandons
ga:goal19Abandons
ga:goal20Abandons
ga:goalAbandonsAll
ga:goal1AbandonRate
ga:goal2AbandonRate
ga:goal3AbandonRate
ga:goal4AbandonRate
ga:goal5AbandonRate
ga:goal6AbandonRate
ga:goal7AbandonRate
ga:goal8AbandonRate
ga:goal9AbandonRate
ga:goal10AbandonRate
ga:goal11AbandonRate
ga:goal12AbandonRate
ga:goal13AbandonRate
ga:goal14AbandonRate
ga:goal15AbandonRate
ga:goal16AbandonRate
ga:goal17AbandonRate
ga:goal18AbandonRate
ga:goal19AbandonRate
ga:goal20AbandonRate
ga:goalAbandonRateAll
ga:socialActivities
ga:entrances
ga:entranceRate
ga:pageviews
ga:pageviewsPerVisit
ga:uniquePageviews
ga:timeOnPage
ga:avgTimeOnPage
ga:exits
ga:exitRate
ga:searchResultViews
ga:searchUniques
ga:avgSearchResultViews
ga:searchVisits
ga:percentVisitsWithSearch
ga:searchDepth
ga:avgSearchDepth
ga:searchRefinements
ga:searchDuration
ga:avgSearchDuration
ga:searchExits
ga:searchExitRate
ga:searchGoal1ConversionRate
ga:searchGoal2ConversionRate
ga:searchGoal3ConversionRate
ga:searchGoal4ConversionRate
ga:searchGoal5ConversionRate
ga:searchGoal6ConversionRate
ga:searchGoal7ConversionRate
ga:searchGoal8ConversionRate
ga:searchGoal9ConversionRate
ga:searchGoal10ConversionRate
ga:searchGoal11ConversionRate
ga:searchGoal12ConversionRate
ga:searchGoal13ConversionRate
ga:searchGoal14ConversionRate
ga:searchGoal15ConversionRate
ga:searchGoal16ConversionRate
ga:searchGoal17ConversionRate
ga:searchGoal18ConversionRate
ga:searchGoal19ConversionRate
ga:searchGoal20ConversionRate
ga:searchGoalConversionRateAll
ga:goalValueAllPerSearch
ga:pageLoadTime
ga:pageLoadSample
ga:avgPageLoadTime
ga:domainLookupTime
ga:avgDomainLookupTime
ga:pageDownloadTime
ga:avgPageDownloadTime
ga:redirectionTime
ga:avgRedirectionTime
ga:serverConnectionTime
ga:avgServerConnectionTime
ga:serverResponseTime
ga:avgServerResponseTime
ga:speedMetricsSample
ga:appviews
ga:uniqueAppviews
ga:appviewsPerVisit
ga:totalEvents
ga:uniqueEvents
ga:eventValue
ga:avgEventValue
ga:visitsWithEvent
ga:eventsPerVisitWithEvent
ga:transactions
ga:transactionsPerVisit
ga:transactionRevenue
ga:revenuePerTransaction
ga:transactionRevenuePerVisit
ga:transactionShipping
ga:transactionTax
ga:totalValue
ga:itemQuantity
ga:uniquePurchases
ga:revenuePerItem
ga:itemRevenue
ga:itemsPerPurchase
ga:socialInteractions
ga:uniqueSocialInteractions
ga:socialInteractionsPerVisit
ga:userTimingValue
ga:userTimingSample
ga:avgUserTimingValue
ga:exceptions
ga:fatalExceptions
