ga:visitorType
ga:visitCount
ga:daysSinceLastVisit
ga:userDefinedValue
ga:visitLength
ga:referralPath
ga:campaign
ga:source
ga:medium
ga:keyword
ga:adContent
ga:socialNetwork
ga:hasSocialSourceReferral
ga:adGroup
ga:adSlot
ga:adSlotPosition
ga:adDistributionNetwork
ga:adMatchType
ga:adMatchedQuery
ga:adPlacementDomain
ga:adPlacementUrl
ga:adFormat
ga:adTargetingType
ga:adTargetingOption
ga:adDisplayUrl
ga:adDestinationUrl
ga:adwordsCustomerID
ga:adwordsCampaignID
ga:adwordsAdGroupID
ga:adwordsCreativeID
ga:adwordsCriteriaID
ga:browser
ga:browserVersion
ga:operatingSystem
ga:operatingSystemVersion
ga:isMobile
ga:isTablet
ga:mobileDeviceBranding
ga:mobileDeviceModel
ga:mobileInputSelector
ga:mobileDeviceInfo
ga:continent
ga:subContinent
ga:country
ga:region
ga:metro
ga:city
ga:latitude
ga:longitude
ga:networkDomain
ga:networkLocation
ga:flashVersion
ga:javaEnabled
ga:language
ga:screenColors
ga:screenResolution
ga:socialActivityEndorsingUrl
ga:socialActivityDisplayName
ga:socialActivityPost
ga:socialActivityTimestamp
ga:socialActivityUserHandle
ga:socialActivityUserPhotoUrl
ga:socialActivityUserProfileUrl
ga:socialActivityContentUrl
ga:socialActivityTagsSummary
ga:socialActivityAction
ga:socialActivityNetworkAction
ga:hostname
ga:pagePath
ga:pagePathLevel1
ga:pagePathLevel2
ga:pagePathLevel3
ga:pagePathLevel4
ga:pageTitle
ga:landingPagePath
ga:secondPagePath
ga:exitPagePath
ga:previousPagePath
ga:nextPagePath
ga:pageDepth
ga:searchUsed
ga:searchKeyword
ga:searchKeywordRefinement
ga:searchCategory
ga:searchStartPage
ga:searchDestinationPage
ga:eventCategory
ga:eventAction
ga:eventLabel
ga:transactionId
ga:affiliation
ga:visitsToTransaction
ga:daysToTransaction
ga:productSku
ga:productName
ga:productCategory
ga:socialInteractionNetwork
ga:socialInteractionAction
ga:socialInteractionNetworkAction
ga:socialInteractionTarget
ga:userTimingCategory
ga:userTimingLabel
ga:userTimingVariable
ga:customVarName1
ga:customVarName2
ga:customVarName3
ga:customVarName4
ga:customVarName5
ga:customVarValue1
ga:customVarValue2
ga:customVarValue3
ga:customVarValue4
ga:customVarValue5
ga:date
ga:year
ga:month
ga:week
ga:day
ga:hour
ga:nthMonth
ga:nthWeek
ga:nthDay
ga:dayOfWeek
